name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
i080-001,80,120,6,0.006,0,0.006,0.012,1787
i080-002,80,120,6,0.009,0,0.006,0.015,1607
i080-003,80,120,6,0.009,0,0.006,0.015,1713
i080-004,80,120,6,0.005,0,0.006,0.012,1866
i080-005,80,120,6,0.008,0,0.006,0.014,1790
i080-011,80,350,6,0.01,0,0.006,0.016,1479
i080-012,80,350,6,0.011,0,0.006,0.017,1484
i080-013,80,350,6,0.008,0,0.006,0.015,1381
i080-014,80,350,6,0.005,0,0.007,0.013,1397
i080-015,80,350,6,0.011,0,0.006,0.018,1495
i080-021,80,3160,6,0.025,0,0.004,0.029,1175
i080-022,80,3160,6,0.024,0,0.004,0.028,1178
i080-023,80,3160,6,0.021,0,0.004,0.026,1174
i080-024,80,3160,6,0.02,0,0.004,0.025,1161
i080-025,80,3160,6,0.021,0,0.004,0.025,1162
i080-031,80,160,6,0.01,0,0.006,0.016,1570
i080-032,80,160,6,0.008,0,0.006,0.015,2088
i080-033,80,160,6,0.011,0,0.006,0.017,1794
i080-034,80,160,6,0.009,0,0.006,0.016,1688
i080-035,80,160,6,0.004,0,0.004,0.009,1862
i080-041,80,632,6,0.012,0,0.005,0.018,1276
i080-042,80,632,6,0.012,0,0.004,0.016,1287
i080-043,80,632,6,0.015,0,0.004,0.019,1295
i080-044,80,632,6,0.016,0,0.004,0.02,1366
i080-045,80,632,6,0.013,0,0.006,0.02,1310
i080-101,80,120,8,0.01,0,0.038,0.049,2608
i080-102,80,120,8,0.007,0,0.02,0.027,2403
i080-103,80,120,8,0.006,0,0.021,0.028,2603
i080-104,80,120,8,0.013,0,0.021,0.034,2486
i080-105,80,120,8,0.011,0,0.019,0.03,2203
i080-111,80,350,8,0.016,0,0.019,0.035,2051
i080-112,80,350,8,0.011,0,0.02,0.032,1885
i080-113,80,350,8,0.01,0,0.021,0.031,1884
i080-114,80,350,8,0.011,0,0.021,0.032,1895
i080-115,80,350,8,0.005,0,0.021,0.027,1868
i080-121,80,3160,8,0.022,0,0.02,0.042,1561
i080-122,80,3160,8,0.023,0,0.023,0.047,1561
i080-123,80,3160,8,0.021,0,0.019,0.04,1569
i080-124,80,3160,8,0.024,0,0.019,0.044,1555
i080-125,80,3160,8,0.022,0,0.019,0.042,1572
i080-131,80,160,8,0.006,0,0.024,0.031,2284
i080-132,80,160,8,0.007,0,0.022,0.03,2180
i080-133,80,160,8,0.008,0,0.021,0.03,2261
i080-134,80,160,8,0.008,0,0.021,0.03,2070
i080-135,80,160,8,0.009,0,0.022,0.032,2102
i080-141,80,632,8,0.013,0,0.02,0.033,1788
i080-142,80,632,8,0.016,0,0.019,0.036,1708
i080-143,80,632,8,0.015,0,0.019,0.034,1767
i080-144,80,632,8,0.014,0,0.019,0.034,1772
i080-145,80,632,8,0.013,0,0.019,0.033,1762
i080-201,80,120,16,0.009,0.017,25.593,25.62,4760
i080-202,80,120,16,0.01,0.014,25.455,25.48,4650
i080-203,80,120,16,0.01,0.016,26.064,26.091,4599
i080-204,80,120,16,0.009,0.019,25.719,25.748,4492
i080-205,80,120,16,0.012,0.014,26.027,26.054,4564
i080-211,80,350,16,0.009,0.018,25.913,25.941,3631
i080-212,80,350,16,0.012,0.021,26.164,26.199,3677
i080-213,80,350,16,0.014,0.014,26.093,26.121,3678
i080-214,80,350,16,0.012,0.018,26.446,26.478,3734
i080-215,80,350,16,0.013,0.016,26.882,26.912,3681
i080-221,80,3160,16,0.024,0.015,26.911,26.951,3158
i080-222,80,3160,16,0.023,0.014,27.41,27.448,3141
i080-223,80,3160,16,0.024,0.016,26.766,26.808,3156
i080-224,80,3160,16,0.02,0.014,27.393,27.429,3159
i080-225,80,3160,16,0.023,0.015,27.39,27.429,3150
i080-231,80,160,16,0.008,0.016,27.897,27.922,4354
i080-232,80,160,16,0.009,0.017,27.201,27.227,4199
i080-233,80,160,16,0.009,0.017,26.962,26.988,4118
i080-234,80,160,16,0.006,0.017,27.516,27.539,4274
i080-235,80,160,16,0.011,0.018,27.298,27.327,4487
i080-241,80,632,16,0.014,0.016,26.936,26.967,3538
i080-242,80,632,16,0.013,0.015,27.556,27.585,3458
i080-243,80,632,16,0.014,0.015,27.382,27.412,3474
i080-244,80,632,16,0.014,0.016,27.195,27.226,3466
i080-245,80,632,16,0.011,0.014,26.92,26.946,3467
i080-301,80,120,20,n/a,n/a,n/a,over 30s,n/a
i080-302,80,120,20,n/a,n/a,n/a,over 30s,n/a
i080-303,80,120,20,n/a,n/a,n/a,over 30s,n/a
i080-304,80,120,20,n/a,n/a,n/a,over 30s,n/a
i080-305,80,120,20,n/a,n/a,n/a,over 30s,n/a
i080-311,80,350,20,n/a,n/a,n/a,over 30s,n/a
i080-312,80,350,20,n/a,n/a,n/a,over 30s,n/a
i080-313,80,350,20,n/a,n/a,n/a,over 30s,n/a
i080-314,80,350,20,n/a,n/a,n/a,over 30s,n/a
i080-315,80,350,20,n/a,n/a,n/a,over 30s,n/a
i080-321,80,3160,20,n/a,n/a,n/a,over 30s,n/a
i080-322,80,3160,20,n/a,n/a,n/a,over 30s,n/a
i080-323,80,3160,20,n/a,n/a,n/a,over 30s,n/a
i080-324,80,3160,20,n/a,n/a,n/a,over 30s,n/a
i080-325,80,3160,20,n/a,n/a,n/a,over 30s,n/a
i080-331,80,160,20,n/a,n/a,n/a,over 30s,n/a
i080-332,80,160,20,n/a,n/a,n/a,over 30s,n/a
i080-333,80,160,20,n/a,n/a,n/a,over 30s,n/a
i080-334,80,160,20,n/a,n/a,n/a,over 30s,n/a
i080-335,80,160,20,n/a,n/a,n/a,over 30s,n/a
i080-341,80,632,20,n/a,n/a,n/a,over 30s,n/a
i080-342,80,632,20,n/a,n/a,n/a,over 30s,n/a
i080-343,80,632,20,n/a,n/a,n/a,over 30s,n/a
i080-344,80,632,20,n/a,n/a,n/a,over 30s,n/a
i080-345,80,632,20,n/a,n/a,n/a,over 30s,n/a
