name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
lin01,53,80,4,0.009,0,0.001,0.01,503
lin02,55,82,6,0.003,0,0.002,0.005,557
lin03,57,84,8,0.009,0,0.013,0.022,926
lin04,157,266,6,0.077,0,0.015,0.093,1239
lin05,160,269,9,0.083,0,0.149,0.233,1703
lin06,165,274,14,0.09,0.005,9.197,9.294,1348
lin07,307,526,6,0.533,0,0.058,0.592,1885
lin08,311,530,10,0.557,0,1.08,1.638,2248
lin09,313,532,12,0.571,0.002,4.917,5.491,2752
lin10,321,540,20,n/a,n/a,n/a,over 30s,n/a
lin11,816,1460,10,9.915,0.001,6.928,16.844,4280
lin12,818,1462,12,n/a,n/a,n/a,over 30s,n/a
lin13,822,1466,16,n/a,n/a,n/a,over 30s,n/a
