name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
msm0580,338,541,11,0.077,0.001,2.654,2.732,467
msm0654,1290,2270,10,1.013,0.001,17.388,18.404,823
msm0709,1442,2403,16,n/a,n/a,n/a,over 30s,n/a
msm1008,402,695,11,0.108,0.001,3.815,3.925,494
msm1234,933,1632,13,n/a,n/a,n/a,over 30s,n/a
msm1707,278,478,11,0.048,0,1.857,1.907,564
msm1844,90,135,10,0.012,0,0.114,0.127,188
msm1931,875,1522,10,0.472,0.001,7.999,8.472,604
msm2000,898,1562,10,0.501,0.001,8.462,8.964,594
msm2326,418,723,14,n/a,n/a,n/a,over 30s,n/a
msm2705,1359,2458,13,n/a,n/a,n/a,over 30s,n/a
msm3676,957,1554,10,0.57,0.001,9.624,10.196,607
msm4038,237,390,11,0.036,0,1.406,1.444,353
msm4114,402,690,16,n/a,n/a,n/a,over 30s,n/a
msm4190,391,666,16,n/a,n/a,n/a,over 30s,n/a
msm4224,191,302,11,0.027,0,0.937,0.965,311
msm4414,317,476,11,0.069,0.001,2.373,2.443,408
msm4515,777,1358,13,n/a,n/a,n/a,over 30s,n/a
