name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
p601,100,180,0,0,0,0,0,0
p602,100,180,5,0.027,0,0.003,0.03,8083
p603,100,180,5,0.024,0,0.003,0.027,5022
p604,100,180,10,0.025,0,0.137,0.162,11397
p605,100,180,10,0.025,0,0.137,0.163,10355
p606,100,180,10,0.027,0,0.137,0.165,13048
p607,100,180,20,n/a,n/a,n/a,over 30s,n/a
p608,100,180,20,n/a,n/a,n/a,over 30s,n/a
p609,100,180,20,n/a,n/a,n/a,over 30s,n/a
p613,200,370,10,0.151,0,0.473,0.625,18429
p614,200,370,20,n/a,n/a,n/a,over 30s,n/a
