test,nodes,edges,terminals,gpu_results,cpu_results,wata-orz_results,wata-orz_results_with_preprocessing
i080-221,80,3160,16,2.097,26.951,22.169,22.040
i080-222,80,3160,16,2.148,27.448,22.457,21.294
i080-223,80,3160,16,2.096,26.808,23.922,21.431
i080-224,80,3160,16,2.078,27.429,22.687,21.355
i080-225,80,3160,16,2.077,27.429,22.476,21.115
i080-231,80,160,16,2.07,27.922,2.813,2.444
i080-232,80,160,16,2.122,27.227,6.024,5.230
i080-241,80,632,16,2.145,26.967,22.379,20.674
i080-242,80,632,16,2.095,27.585,20.733,19.115
i080-243,80,632,16,2.098,27.412,20.995,19.397
i080-244,80,632,16,2.147,27.226,20.535,18.830
i080-245,80,632,16,2.123,26.946,22.087,20.584
i080-311,80,350,20,over 30s,over 30s,over 30s,over 30s
i080-312,80,350,20,over 30s,over 30s,over 30s,over 30s
i080-313,80,350,20,over 30s,over 30s,over 30s,over 30s
i080-314,80,350,20,over 30s,over 30s,over 30s,over 30s
i080-315,80,350,20,over 30s,over 30s,over 30s,over 30s
i080-321,80,3160,20,over 30s,over 30s,over 30s,over 30s
i080-322,80,3160,20,over 30s,over 30s,over 30s,over 30s
i080-323,80,3160,20,over 30s,over 30s,over 30s,over 30s
i080-324,80,3160,20,over 30s,over 30s,over 30s,over 30s
i080-325,80,3160,20,over 30s,over 30s,over 30s,over 30s
i080-331,80,160,20,over 30s,over 30s,over 30s,over 30s
i080-332,80,160,20,over 30s,over 30s,over 30s,over 30s
i080-333,80,160,20,over 30s,over 30s,over 30s,over 30s
i080-334,80,160,20,over 30s,over 30s,over 30s,over 30s
i080-335,80,160,20,over 30s,over 30s,over 30s,over 30s
i080-341,80,632,20,over 30s,over 30s,over 30s,over 30s
i080-342,80,632,20,over 30s,over 30s,over 30s,over 30s
i080-343,80,632,20,over 30s,over 30s,over 30s,over 30s
i080-344,80,632,20,over 30s,over 30s,over 30s,over 30s
i080-345,80,632,20,over 30s,over 30s,over 30s,over 30s
i160-111,160,812,12,0.286,1.673,0.492,0.511
i160-112,160,812,12,0.327,1.63,0.530,0.521
i160-113,160,812,12,0.284,1.607,0.518,0.480
i160-114,160,812,12,0.305,1.664,0.472,0.463
i160-115,160,812,12,0.276,1.62,0.478,0.491
i160-121,160,12720,12,0.286,1.741,0.606,0.609
i160-122,160,12720,12,0.285,1.782,0.609,0.586
i160-123,160,12720,12,0.343,1.789,0.596,0.577
i160-124,160,12720,12,0.297,1.737,0.582,0.562
i160-125,160,12720,12,0.285,1.668,0.594,0.566
i160-141,160,2544,12,0.253,1.627,0.599,0.551
i160-142,160,2544,12,0.295,1.591,0.565,0.542
i160-143,160,2544,12,0.235,1.677,0.548,0.539
i160-144,160,2544,12,0.276,1.632,0.543,0.541
i160-145,160,2544,12,0.231,1.761,0.551,0.539
i320-104,320,480,17,9.43,over 30s,9.882,8.168
i320-111,320,1845,17,9.365,over 30s,over 30s,over 30s
i320-112,320,1845,17,9.327,over 30s,over 30s,over 30s
i320-113,320,1845,17,9.396,over 30s,over 30s,over 30s
i320-114,320,1845,17,9.422,over 30s,over 30s,over 30s
i320-115,320,1845,17,9.42,over 30s,over 30s,over 30s
i320-121,320,51040,17,9.474,over 30s,over 30s,over 30s
i320-122,320,51040,17,9.464,over 30s,over 30s,over 30s
i320-123,320,51040,17,9.432,over 30s,over 30s,over 30s
i320-124,320,51040,17,9.462,over 30s,over 30s,over 30s
i320-125,320,51040,17,9.484,over 30s,over 30s,over 30s
i320-131,320,640,17,9.401,over 30s,over 30s,over 30s
i320-134,320,640,17,9.349,over 30s,over 30s,over 30s
i320-135,320,640,17,9.367,over 30s,over 30s,over 30s
i320-141,320,10208,17,9.491,over 30s,over 30s,over 30s
i320-142,320,10208,17,9.449,over 30s,over 30s,over 30s
i320-143,320,10208,17,9.463,over 30s,over 30s,over 30s
i320-144,320,10208,17,9.446,over 30s,over 30s,over 30s
i320-145,320,10208,17,9.441,over 30s,over 30s,over 30s
p601,100,180,0,0,0,0.000,over 30s
cc3-5p,125,750,13,0.383,2.478,0.881,0.841
cc3-5u,125,750,13,0.361,2.47,0.827,0.801
