test,nodes,edges,terminals,gpu_results,gpu_results_with_preprocessing,wata-orz_results,wata-orz_results_with_preprocessing
b01,50,63,9,0,0,0.001,0.000
b02,50,63,13,0.006,0,0.002,0.000
b04,50,100,9,0,0,0.003,0.001
b05,50,100,13,0.006,0,0.006,0.000
b07,75,94,13,0.009,0,0.005,0.000
b08,75,94,19,3.819,0,0.008,0.000
b10,75,150,13,0.01,0,0.013,0.003
b11,75,150,19,3.976,0,0.015,0.001
b13,100,125,17,0.585,0,0.034,0.001
b16,100,200,17,0.581,0.001,0.019,0.006
c02,500,625,10,0.034,0.001,0.007,0.009
c07,500,1000,10,0.042,0.016,0.027,0.022
d02,1000,1250,10,0.136,0.009,0.056,0.037
diw0250,353,608,11,0.032,0,0.005,0.004
diw0260,539,985,12,0.088,0,0.005,0.011
diw0313,468,822,14,0.303,0,0.002,0.009
diw0393,212,381,11,0.011,0,0.004,0.007
diw0460,339,579,13,0.081,0,0.005,0.008
diw0495,938,1655,10,0.101,0,0.011,0.017
diw0513,918,1684,10,0.092,0,0.009,0.011
diw0523,1080,2015,10,0.131,0,0.007,0.011
diw0540,286,465,10,0.011,0,0.005,0.006
dmxa0296,233,386,12,0.021,0,0.003,0.004
dmxa0628,169,280,10,0.004,0,0.004,0.003
dmxa0734,663,1154,11,0.079,0,0.010,0.013
dmxa0848,499,861,16,1.747,0.027,0.036,0.018
dmxa0903,632,1087,10,0.047,0.002,0.011,0.016
dmxa1109,343,559,17,2.477,0.002,0.014,0.014
dmxa1304,298,503,10,0.012,0,0.006,0.005
dmxa1516,720,1269,11,0.092,0,0.005,0.010
dmxa1721,1005,1731,18,over 30s,0.001,0.028,0.018
es10fst01,18,20,10,0,0,0.000,0.000
es10fst02,14,13,10,0,0,0.000,0.000
es10fst03,17,20,10,0,0,0.000,0.000
es10fst04,18,20,10,0,0,0.000,0.000
es10fst05,12,11,10,0,0,0.000,0.000
es10fst06,17,20,10,0,0,0.000,0.000
es10fst07,14,13,10,0,0,0.000,0.000
es10fst08,21,28,10,0,0,0.001,0.000
es10fst09,21,29,10,0,0,0.000,0.001
es10fst10,18,21,10,0,0,0.000,0.000
es10fst11,14,13,10,0,0,0.000,0.000
es10fst12,13,12,10,0,0,0.000,0.000
es10fst13,18,21,10,0,0,0.000,0.000
es10fst14,24,32,10,0,0,0.000,0.001
es10fst15,16,18,10,0,0,0.000,0.000
gap1307,342,552,17,2.629,0.002,0.020,0.007
gap1413,541,906,10,0.035,0,0.011,0.008
gap1500,220,374,17,1.428,0,0.005,0.002
gap1810,429,702,17,3.379,0,0.011,0.006
gap2740,1196,2084,14,1.512,0.001,0.019,0.019
gap2800,386,653,12,0.049,0,0.005,0.009
gap2975,179,293,10,0.005,0,0.003,0.002
gap3036,346,583,13,0.086,0.001,0.016,0.013
gap3100,921,1558,11,0.146,0.006,0.008,0.022
i080-001,80,120,6,0,0,0.001,0.001
i080-002,80,120,6,0,0,0.000,0.001
i080-003,80,120,6,0,0,0.001,0.001
i080-004,80,120,6,0,0,0.001,0.001
i080-005,80,120,6,0,0,0.002,0.002
i080-011,80,350,6,0.001,0,0.002,0.003
i080-012,80,350,6,0.001,0,0.003,0.004
i080-013,80,350,6,0.002,0,0.003,0.004
i080-014,80,350,6,0,0,0.003,0.004
i080-015,80,350,6,0.001,0,0.003,0.004
i080-021,80,3160,6,0.001,0.001,0.005,0.008
i080-022,80,3160,6,0.001,0.001,0.004,0.008
i080-023,80,3160,6,0.001,0.001,0.004,0.007
i080-024,80,3160,6,0.001,0.001,0.004,0.005
i080-025,80,3160,6,0.001,0.001,0.004,0.010
i080-031,80,160,6,0,0,0.001,0.003
i080-032,80,160,6,0,0,0.002,0.003
i080-033,80,160,6,0,0,0.002,0.003
i080-034,80,160,6,0,0,0.001,0.003
i080-035,80,160,6,0,0,0.002,0.003
i080-041,80,632,6,0.001,0.001,0.003,0.005
i080-042,80,632,6,0.001,0.001,0.004,0.005
i080-043,80,632,6,0.001,0.001,0.003,0.005
i080-044,80,632,6,0.001,0.001,0.003,0.002
i080-045,80,632,6,0.001,0.001,0.004,0.004
i080-101,80,120,8,0,0,0.002,0.002
i080-102,80,120,8,0,0,0.002,0.002
i080-103,80,120,8,0,0,0.004,0.002
i080-104,80,120,8,0,0,0.005,0.005
i080-105,80,120,8,0,0,0.001,0.001
i080-111,80,350,8,0.001,0.001,0.014,0.010
i080-112,80,350,8,0.002,0.001,0.009,0.014
i080-113,80,350,8,0.001,0.001,0.010,0.010
i080-114,80,350,8,0.001,0.001,0.013,0.016
i080-115,80,350,8,0.001,0.001,0.015,0.015
i080-121,80,3160,8,0.002,0.002,0.010,0.016
i080-122,80,3160,8,0.001,0.002,0.012,0.014
i080-123,80,3160,8,0.002,0.004,0.016,0.016
i080-124,80,3160,8,0.002,0.002,0.013,0.017
i080-125,80,3160,8,0.002,0.002,0.011,0.012
i080-131,80,160,8,0.001,0.001,0.002,0.003
i080-132,80,160,8,0.001,0.001,0.009,0.006
i080-133,80,160,8,0.001,0.001,0.003,0.003
i080-134,80,160,8,0.001,0.001,0.010,0.011
i080-135,80,160,8,0.001,0.001,0.002,0.006
i080-141,80,632,8,0.001,0.001,0.010,0.017
i080-142,80,632,8,0.001,0.001,0.013,0.013
i080-143,80,632,8,0.001,0.001,0.011,0.013
i080-144,80,632,8,0.002,0.001,0.014,0.012
i080-145,80,632,8,0.001,0.001,0.015,0.015
i080-201,80,120,16,0.162,0.005,0.025,0.009
i080-202,80,120,16,0.162,0.015,0.027,0.013
