name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
es10fst01,18,20,10,0,0,0,0,22920745
es10fst02,14,13,10,0,0,0,0,19134104
es10fst03,17,20,10,0,0,0,0,26003678
es10fst04,18,20,10,0,0,0,0,20461116
es10fst05,12,11,10,0,0,0,0,18818916
es10fst06,17,20,10,0,0,0,0,26540768
es10fst07,14,13,10,0,0,0,0,26025072
es10fst08,21,28,10,0,0,0,0,25056214
es10fst09,21,29,10,0,0,0,0,22062355
es10fst10,18,21,10,0,0,0,0,23936095
es10fst11,14,13,10,0,0,0,0,22239535
es10fst12,13,12,10,0,0,0,0,19626318
es10fst13,18,21,10,0,0,0,0,19483914
es10fst14,24,32,10,0,0,0,0,21856128
es10fst15,16,18,10,0,0,0,0,18641924
