name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
i080-001,80,120,6,0.001,0.186,0,0.187,1787
i080-002,80,120,6,0.001,0.233,0,0.234,1607
i080-003,80,120,6,0.001,0.224,0,0.225,1713
i080-004,80,120,6,0.001,0.208,0,0.209,1866
i080-005,80,120,6,0.001,0.22,0,0.221,1790
i080-011,80,350,6,0,0.234,0,0.235,1479
i080-012,80,350,6,0.001,0.274,0,0.275,1484
i080-013,80,350,6,0.001,0.259,0,0.261,1381
i080-014,80,350,6,0.002,0.325,0,0.327,1397
i080-015,80,350,6,0,0.241,0,0.242,1495
i080-021,80,3160,6,0.002,0.275,0,0.278,1175
i080-022,80,3160,6,0.003,0.254,0,0.258,1178
i080-023,80,3160,6,0.004,0.21,0,0.215,1174
i080-024,80,3160,6,0.002,0.245,0,0.248,1161
i080-025,80,3160,6,0.004,0.225,0,0.229,1162
i080-031,80,160,6,0.001,0.268,0,0.27,1570
i080-032,80,160,6,0.001,0.247,0,0.248,2088
i080-033,80,160,6,0,0.225,0,0.226,1794
i080-034,80,160,6,0.001,0.235,0,0.237,1688
i080-035,80,160,6,0.001,0.217,0,0.218,1862
i080-041,80,632,6,0.001,0.211,0,0.214,1276
i080-042,80,632,6,0,0.259,0,0.26,1287
i080-043,80,632,6,0.002,0.215,0,0.217,1295
i080-044,80,632,6,0.002,0.239,0,0.241,1366
i080-045,80,632,6,0.002,0.259,0,0.261,1310
i080-101,80,120,8,0,0.22,0,0.221,2608
i080-102,80,120,8,0,0.312,0.001,0.314,2403
i080-103,80,120,8,0.001,0.256,0,0.258,2603
i080-104,80,120,8,0.001,0.242,0,0.244,2486
i080-105,80,120,8,0,0.221,0,0.222,2203
i080-111,80,350,8,0.001,0.226,0,0.228,2051
i080-112,80,350,8,0,0.231,0,0.233,1885
i080-113,80,350,8,0.002,0.288,0,0.291,1884
i080-114,80,350,8,0.001,0.237,0,0.239,1895
i080-115,80,350,8,0,0.218,0,0.219,1868
i080-121,80,3160,8,0.001,0.192,0,0.194,1561
i080-122,80,3160,8,0.003,0.227,0,0.231,1561
i080-123,80,3160,8,0.003,0.284,0,0.288,1569
i080-124,80,3160,8,0.003,0.195,0,0.199,1555
i080-125,80,3160,8,0.001,0.198,0,0.2,1572
i080-131,80,160,8,0.001,0.239,0,0.241,2284
i080-132,80,160,8,0,0.217,0,0.218,2180
i080-133,80,160,8,0.001,0.226,0,0.227,2261
i080-134,80,160,8,0.001,0.232,0,0.233,2070
i080-135,80,160,8,0,0.231,0,0.233,2102
i080-141,80,632,8,0.002,0.249,0,0.252,1788
i080-142,80,632,8,0.002,0.209,0,0.212,1708
i080-143,80,632,8,0.001,0.211,0,0.212,1767
i080-144,80,632,8,0.001,0.237,0,0.239,1772
i080-145,80,632,8,0,0.287,0,0.288,1762
i080-201,80,120,16,0.001,0.278,1.846,2.126,4760
i080-202,80,120,16,0,0.256,1.835,2.093,4650
i080-203,80,120,16,0,0.277,1.847,2.125,4599
i080-204,80,120,16,0,0.218,1.832,2.051,4492
i080-205,80,120,16,0.001,0.218,1.839,2.059,4564
i080-211,80,350,16,0.001,0.278,1.835,2.116,3631
i080-212,80,350,16,0.001,0.263,1.84,2.105,3677
i080-213,80,350,16,0.001,0.263,1.834,2.1,3678
i080-214,80,350,16,0.001,0.295,1.844,2.141,3734
i080-215,80,350,16,0,0.257,1.836,2.094,3681
i080-221,80,3160,16,0.003,0.247,1.846,2.097,3158
i080-222,80,3160,16,0.002,0.309,1.837,2.148,3141
i080-223,80,3160,16,0.001,0.25,1.844,2.096,3156
i080-224,80,3160,16,0.003,0.245,1.83,2.078,3159
i080-225,80,3160,16,0.003,0.233,1.841,2.077,3150
i080-231,80,160,16,0.001,0.235,1.833,2.07,4354
i080-232,80,160,16,0.001,0.273,1.847,2.122,4199
i080-233,80,160,16,0.001,0.258,1.834,2.094,4118
i080-234,80,160,16,0.001,0.234,1.844,2.079,4274
i080-235,80,160,16,0.001,0.296,1.836,2.134,4487
i080-241,80,632,16,0.001,0.298,1.845,2.145,3538
i080-242,80,632,16,0.002,0.262,1.83,2.095,3458
i080-243,80,632,16,0.002,0.255,1.84,2.098,3474
i080-244,80,632,16,0.002,0.309,1.835,2.147,3466
i080-245,80,632,16,0.002,0.276,1.844,2.123,3467
i080-301,80,120,20,n/a,n/a,n/a,over 30s,n/a
i080-302,80,120,20,n/a,n/a,n/a,over 30s,n/a
i080-303,80,120,20,n/a,n/a,n/a,over 30s,n/a
i080-304,80,120,20,n/a,n/a,n/a,over 30s,n/a
i080-305,80,120,20,n/a,n/a,n/a,over 30s,n/a
i080-311,80,350,20,n/a,n/a,n/a,over 30s,n/a
i080-312,80,350,20,n/a,n/a,n/a,over 30s,n/a
i080-313,80,350,20,n/a,n/a,n/a,over 30s,n/a
i080-314,80,350,20,n/a,n/a,n/a,over 30s,n/a
i080-315,80,350,20,n/a,n/a,n/a,over 30s,n/a
i080-321,80,3160,20,n/a,n/a,n/a,over 30s,n/a
i080-322,80,3160,20,n/a,n/a,n/a,over 30s,n/a
i080-323,80,3160,20,n/a,n/a,n/a,over 30s,n/a
i080-324,80,3160,20,n/a,n/a,n/a,over 30s,n/a
i080-325,80,3160,20,n/a,n/a,n/a,over 30s,n/a
i080-331,80,160,20,n/a,n/a,n/a,over 30s,n/a
i080-332,80,160,20,n/a,n/a,n/a,over 30s,n/a
i080-333,80,160,20,n/a,n/a,n/a,over 30s,n/a
i080-334,80,160,20,n/a,n/a,n/a,over 30s,n/a
i080-335,80,160,20,n/a,n/a,n/a,over 30s,n/a
i080-341,80,632,20,n/a,n/a,n/a,over 30s,n/a
i080-342,80,632,20,n/a,n/a,n/a,over 30s,n/a
i080-343,80,632,20,n/a,n/a,n/a,over 30s,n/a
i080-344,80,632,20,n/a,n/a,n/a,over 30s,n/a
i080-345,80,632,20,n/a,n/a,n/a,over 30s,n/a
