name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
lin01,53,80,4,0.001,0,0,0.001,503
lin02,55,82,6,0.001,0,0,0.002,557
lin03,57,84,8,0.002,0,0,0.002,926
lin04,157,266,6,0.017,0,0,0.018,1239
lin05,160,269,9,0.017,0,0.001,0.018,1703
lin06,165,274,14,0.017,0.008,0.323,0.349,1348
lin07,307,526,6,0.065,0.001,0,0.066,1885
lin08,311,530,10,0.067,0.001,0.002,0.071,2248
lin09,313,532,12,0.067,0.004,0.077,0.149,2752
lin10,321,540,20,n/a,n/a,n/a,over 30s,n/a
lin11,816,1460,10,0.489,0.008,0.002,0.5,4280
lin12,818,1462,12,0.496,0.015,0.152,0.664,5250
lin13,822,1466,16,0.489,0.167,6.912,7.569,4609
