name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
msm0580,338,541,11,0.012,0.168,0.018,0.198,467
msm0654,1290,2270,10,0.085,0.276,0.002,0.363,823
msm0709,1442,2403,16,0.116,0.567,13.052,13.736,884
msm1008,402,695,11,0.012,0.291,0.021,0.324,494
msm1234,933,1632,13,0.047,0.24,1.004,1.293,550
msm1707,278,478,11,0.008,0.195,0.014,0.218,564
msm1844,90,135,10,0.001,0.24,0.002,0.243,188
msm1931,875,1522,10,0.043,0.258,0.002,0.305,604
msm2000,898,1562,10,0.045,0.306,0.003,0.355,594
msm2326,418,723,14,0.014,0.214,0.476,0.705,399
msm2705,1359,2458,13,0.097,0.325,1.439,1.862,714
msm3676,957,1554,10,0.052,0.345,0.002,0.4,607
msm4038,237,390,11,0.006,0.232,0.018,0.257,353
msm4114,402,690,16,0.012,0.283,3.614,3.91,393
msm4190,391,666,16,0.012,0.315,4.171,4.5,381
msm4224,191,302,11,0.005,0.222,0.015,0.243,311
msm4414,317,476,11,0.009,0.247,0.024,0.281,408
msm4515,777,1358,13,0.036,0.294,0.514,0.845,630
