name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
p619,100,180,5,0.001,0.221,0,0.222,7485
p620,100,180,5,0.001,0.208,0,0.21,8746
p621,100,180,5,0.001,0.299,0,0.301,8688
p622,100,180,10,0.001,0.227,0.002,0.231,15972
p623,100,180,10,0.001,0.181,0.002,0.185,19496
p624,100,180,20,n/a,n/a,n/a,over 30s,n/a
p625,100,180,20,n/a,n/a,n/a,over 30s,n/a
p626,100,180,20,n/a,n/a,n/a,over 30s,n/a
p630,200,370,10,0.002,0.211,0.002,0.217,26125
p631,200,370,20,n/a,n/a,n/a,over 30s,n/a
