name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
p601,100,180,0,0,0,0,0,0
p602,100,180,5,0.002,0.199,0,0.201,8083
p603,100,180,5,0.002,0.249,0,0.252,5022
p604,100,180,10,0,0.306,0.002,0.309,11397
p605,100,180,10,0.002,0.276,0.002,0.281,10355
p606,100,180,10,0.001,0.238,0.004,0.244,13048
p607,100,180,20,n/a,n/a,n/a,over 30s,n/a
p608,100,180,20,n/a,n/a,n/a,over 30s,n/a
p609,100,180,20,n/a,n/a,n/a,over 30s,n/a
p613,200,370,10,0.007,0.22,0.003,0.231,18429
p614,200,370,20,n/a,n/a,n/a,over 30s,n/a
