name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
taq0023,572,963,11,0.219,0.006,0.022,0.248,621
taq0431,1128,1905,13,0.883,0.042,0.606,1.531,897
taq0631,609,932,10,0.239,0.005,0.002,0.247,581
taq0739,837,1438,16,0.456,0.166,9.519,10.142,848
taq0741,712,1217,16,0.333,0.143,4.793,5.27,847
taq0751,1051,1791,16,0.739,0.21,12.618,13.568,939
taq0891,331,560,10,0.068,0.002,0.002,0.072,319
taq0910,310,514,17,0.059,0.12,9.449,9.628,370
taq0920,122,194,17,0.008,0.048,6.761,6.818,210
taq0978,777,1239,10,0.394,0.007,0.002,0.404,566
