name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
es10fst01,4,5,3,0,0,0,0,4923516
es10fst02,0,0,0,0,0,0,0,0
es10fst03,0,0,0,0,0,0,0,0
es10fst04,0,0,0,0,0,0,0,0
es10fst05,0,0,0,0,0,0,0,0
es10fst06,0,0,0,0,0,0,0,0
es10fst07,0,0,0,0,0,0,0,0
es10fst08,11,15,5,0,0,0,0,14901894
es10fst09,11,15,6,0,0,0,0,11104891
es10fst10,0,0,0,0,0,0,0,0
es10fst11,0,0,0,0,0,0,0,0
es10fst12,0,0,0,0,0,0,0,0
es10fst13,0,0,0,0,0,0,0,0
es10fst14,13,18,6,0,0,0,0,8399533
es10fst15,0,0,0,0,0,0,0,0
