name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
i320-001,161,314,8,0.005,0.001,0.001,0.007,2672
i320-002,155,313,8,0.001,0,0,0.002,2455
i320-003,170,327,8,0.002,0,0,0.003,2769
i320-004,151,303,8,0.001,0,0,0.002,2504
i320-005,156,310,8,0.001,0,0,0.002,2991
i320-011,320,1845,8,0.011,0.001,0,0.013,2053
i320-012,320,1845,8,0.011,0.001,0,0.013,1997
i320-013,320,1845,8,0.011,0.001,0,0.013,2072
i320-014,320,1845,8,0.011,0.001,0,0.013,2061
i320-015,320,1845,8,0.011,0.001,0,0.013,2059
i320-021,320,51032,8,0.06,0.001,0,0.062,1553
i320-022,320,51028,8,0.06,0.001,0,0.062,1565
i320-023,320,51026,8,0.061,0.001,0,0.063,1549
i320-024,320,51026,8,0.059,0.001,0,0.061,1553
i320-025,320,51032,8,0.06,0.001,0,0.062,1550
i320-031,237,553,8,0.004,0,0,0.005,2673
i320-032,251,567,8,0.005,0,0,0.006,2770
i320-033,237,554,8,0.004,0,0,0.005,2472
i320-034,232,546,8,0.004,0,0,0.005,2521
i320-035,238,554,8,0.004,0,0,0.006,2385
i320-041,320,10208,8,0.031,0.001,0,0.033,1707
i320-042,320,10208,8,0.03,0.001,0,0.032,1682
i320-043,320,10207,8,0.03,0.001,0,0.032,1723
i320-044,320,10208,8,0.03,0.001,0,0.032,1681
i320-045,320,10208,8,0.03,0.001,0,0.032,1686
i320-101,150,300,16,0.001,0.029,2.221,2.252,4244
i320-102,159,311,14,0.001,0.007,0.314,0.324,4468
i320-103,160,311,17,0.002,0.062,7.012,7.076,5125
i320-104,154,304,17,0.001,0.059,7.121,7.183,5090
i320-105,161,313,16,0.001,0.032,2.536,2.57,5535
i320-111,320,1845,17,0.011,0.122,9.024,9.158,4273
i320-112,320,1845,17,0.012,0.127,9.071,9.21,4213
i320-113,320,1845,17,0.012,0.126,9.047,9.186,4205
i320-114,320,1845,17,0.011,0.121,9.047,9.181,4104
i320-115,320,1845,17,0.012,0.121,9.046,9.18,4238
i320-121,320,50948,17,0.059,0.124,9.012,9.196,3321
i320-122,320,50946,17,0.06,0.123,9.013,9.197,3314
i320-123,320,50947,17,0.058,0.124,9.045,9.228,3332
i320-124,320,50957,17,0.058,0.122,9.045,9.226,3323
i320-125,320,50966,17,0.059,0.124,9.012,9.196,3340
i320-131,253,569,17,0.005,0.098,9.489,9.593,5255
i320-132,249,563,15,0.005,0.024,1.106,1.135,4453
i320-133,243,559,16,0.005,0.049,3.09,3.144,4625
i320-134,244,562,17,0.004,0.126,8.051,8.182,5068
i320-135,256,574,17,0.005,0.099,7.903,8.008,5342
i320-141,320,10202,17,0.03,0.123,9.047,9.201,3606
i320-142,320,10204,17,0.03,0.122,8.989,9.142,3567
i320-143,320,10206,17,0.03,0.123,9.043,9.197,3561
i320-144,320,10202,17,0.03,0.173,9.043,9.247,3512
i320-145,320,10205,17,0.029,0.123,9.021,9.174,3601
