name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
msm0580,47,72,10,0,0,0.002,0.003,413
msm0654,5,6,3,0,0,0,0,405
msm0709,111,185,10,0,0,0.002,0.003,399
msm1008,39,60,7,0,0,0,0,263
msm1234,7,9,4,0,0,0,0,115
msm1707,0,0,0,0,0,0,0,0
msm1844,7,9,4,0,0,0,0,66
msm1931,7,9,3,0,0,0,0,422
msm2000,0,0,0,0,0,0,0,0
msm2326,31,47,7,0,0,0,0,198
msm2705,18,27,6,0,0,0,0,214
msm3676,10,14,5,0,0,0,0,120
msm4038,11,16,5,0,0,0,0,104
msm4114,0,0,0,0,0,0,0,0
msm4190,0,0,0,0,0,0,0,0
msm4224,16,24,6,0,0,0,0,204
msm4414,0,0,0,0,0,0,0,0
msm4515,63,103,10,0,0,0.002,0.003,483
