test,nodes,edges,terminals,gpu_results,cpu_results,speed_up
b01,50,63,9,0.003,0.029,9.637873754152825
b02,50,63,13,0.082,0.685,8.352761858309963
b04,50,100,9,0.003,0.026,8.641196013289036
b05,50,100,13,0.085,0.694,8.16386307493236
b07,75,94,13,0.113,1.18,10.441642332536944
b08,75,94,19,over 30s,over 30s,a lot
b10,75,150,13,0.115,1.178,10.242674550039126
b11,75,150,19,over 30s,over 30s,a lot
b13,100,125,17,9.236,over 30s,a lot
b16,100,200,17,9.26,over 30s,a lot
c01,500,625,5,0.185,0.257,1.3891681530728068
c02,500,625,10,0.197,2.964,15.044972336429622
c06,500,1000,5,0.256,0.31,1.2109292605757587
c07,500,1000,10,0.255,2.916,11.434884906474256
c11,500,2500,5,0.402,0.439,1.092037511504689
c12,500,2500,10,0.382,3.081,8.06526007172587
c16,500,12500,5,0.803,0.839,1.044831322150409
c17,500,12500,10,0.776,3.47,4.4716047473615035
d01,1000,1250,5,0.784,1.041,1.3278019413017692
d02,1000,1250,10,0.789,11.057,14.013776758215993
d06,1000,2000,5,1.001,1.25,1.248748763748614
d07,1000,2000,10,1.003,11.278,11.244165063159889
d11,1000,5000,5,1.538,1.773,1.1527948452870918
d12,1000,5000,10,1.542,11.809,7.6581928781265995
d16,1000,25000,5,3.135,3.399,1.0842102577025274
d17,1000,25000,10,3.139,13.394,4.266953593648953
diw0250,353,608,11,0.108,3.072,28.441903527451164
diw0260,539,985,12,0.412,13.792,33.474939928642506
diw0313,468,822,14,0.61,over 30s,a lot
diw0393,212,381,11,0.043,1.192,27.714717507556383
diw0460,339,579,13,0.297,12.859,43.29487222652436
diw0495,938,1655,10,0.613,9.798,15.983442358199705
diw0513,918,1684,10,0.572,9.587,16.76021398227304
diw0523,1080,2015,10,0.803,13.086,16.296198054818746
diw0540,286,465,10,0.063,1.008,15.99761942548802
dmxa0296,233,386,12,0.112,3.04,27.140523167574326
dmxa0628,169,280,10,0.021,0.37,17.61113755354593
dmxa0734,663,1154,11,0.374,9.808,26.223924493997483
dmxa0848,499,861,16,7.037,over 30s,a lot
dmxa0903,632,1087,10,0.279,4.47,16.020966990430445
dmxa1109,343,559,17,14.86,over 30s,a lot
dmxa1304,298,503,10,0.066,1.071,16.224965914255417
dmxa1516,720,1269,11,0.394,11.615,29.478972614908248
dmxa1721,1005,1731,18,over 30s,over 30s,a lot
es10fst01,18,20,10,0.002,0.016,7.965174129353233
es10fst02,14,13,10,0.002,0.014,6.970149253731343
es10fst03,17,20,10,0.004,0.016,3.9925187032418954
es10fst04,18,20,10,0.002,0.017,8.462686567164178
es10fst05,12,11,10,0.002,0.011,5.477611940298507
es10fst06,17,20,10,0.003,0.016,5.318936877076411
es10fst07,14,13,10,0.002,0.014,6.970149253731343
es10fst08,21,28,10,0.003,0.02,6.647840531561462
es10fst09,21,29,10,0.003,0.021,6.980066445182724
es10fst10,18,21,10,0.002,0.016,7.965174129353233
es10fst11,14,13,10,0.002,0.014,6.970149253731343
es10fst12,13,12,10,0.002,0.011,5.477611940298507
es10fst13,18,21,10,0.003,0.019,6.315614617940199
es10fst14,24,32,10,0.003,0.02,6.647840531561462
es10fst15,16,18,10,0.005,0.014,2.7964071856287425
gap1307,342,552,17,10.391,over 30s,a lot
gap1413,541,906,10,0.197,3.299,16.74539363484087
gap1500,220,374,17,7.988,over 30s,a lot
gap1810,429,702,17,12.971,over 30s,a lot
gap2740,1196,2084,14,2.631,over 30s,a lot
gap2800,386,653,12,0.167,7.326,43.865696664870356
gap2975,179,293,10,0.023,0.411,17.862233811386353
gap3036,346,583,13,0.245,12.999,53.05501816252398
gap3100,921,1558,11,0.72,18.48,25.66632407883224
i080-001,80,120,6,0.004,0.012,2.9950124688279303
i080-002,80,120,6,0.004,0.015,3.743142144638404
i080-003,80,120,6,0.005,0.015,2.996007984031936
i080-004,80,120,6,0.004,0.012,2.9950124688279303
i080-005,80,120,6,0.004,0.014,3.493765586034913
i080-011,80,350,6,0.006,0.016,2.663893510815308
i080-012,80,350,6,0.006,0.017,2.8302828618968388
i080-013,80,350,6,0.006,0.015,2.497504159733777
i080-014,80,350,6,0.006,0.013,2.1647254575707153
i080-015,80,350,6,0.006,0.018,2.9966722129783694
i080-021,80,3160,6,0.018,0.029,1.6107717934480845
i080-022,80,3160,6,0.018,0.028,1.5552470849528042
i080-023,80,3160,6,0.018,0.026,1.4441976679622432
i080-024,80,3160,6,0.018,0.025,1.388672959466963
i080-025,80,3160,6,0.018,0.025,1.388672959466963
i080-031,80,160,6,0.005,0.016,3.19560878243513
i080-032,80,160,6,0.004,0.015,3.743142144638404
i080-033,80,160,6,0.005,0.017,3.3952095808383236
i080-034,80,160,6,0.004,0.016,3.9925187032418954
i080-035,80,160,6,0.004,0.009,2.2468827930174564
i080-041,80,632,6,0.008,0.018,2.2484394506866416
i080-042,80,632,6,0.008,0.016,1.9987515605493134
i080-043,80,632,6,0.007,0.019,2.7118402282453635
i080-044,80,632,6,0.008,0.02,2.49812734082397
i080-045,80,632,6,0.008,0.02,2.49812734082397
i080-101,80,120,8,0.004,0.049,12.221945137157109
i080-102,80,120,8,0.011,0.027,2.4532243415077204
i080-103,80,120,8,0.006,0.028,4.6605657237936775
i080-104,80,120,8,0.006,0.034,5.658901830282863
i080-105,80,120,8,0.005,0.03,5.990019960079841
i080-111,80,350,8,0.006,0.035,5.825291181364394
i080-112,80,350,8,0.006,0.032,5.326123128119801
i080-113,80,350,8,0.007,0.031,4.423680456490728
i080-114,80,350,8,0.006,0.032,5.326123128119801
i080-115,80,350,8,0.006,0.027,4.494176372712147
i080-121,80,3160,8,0.019,0.042,2.2098895318253553
i080-122,80,3160,8,0.018,0.047,2.610216546363132
i080-123,80,3160,8,0.021,0.04,1.9043312708234175
i080-124,80,3160,8,0.018,0.044,2.4436424208772904
i080-125,80,3160,8,0.022,0.042,1.908677873693776
i080-131,80,160,8,0.006,0.031,5.159733777038269
i080-132,80,160,8,0.006,0.03,4.993344425956739
i080-133,80,160,8,0.005,0.03,5.990019960079841
i080-134,80,160,8,0.006,0.03,4.993344425956739
i080-135,80,160,8,0.005,0.032,6.389221556886229
i080-141,80,632,8,0.01,0.033,3.297702297702298
i080-142,80,632,8,0.009,0.036,3.996670366259712
i080-143,80,632,8,0.008,0.034,4.245942571785269
i080-144,80,632,8,0.008,0.034,4.245942571785269
i080-145,80,632,8,0.013,0.033,2.5372790161414303
i080-201,80,120,16,2.304,25.62,11.119747744150416
i080-202,80,120,16,2.078,25.48,12.261735987796017
i080-203,80,120,16,2.04,26.091,12.789648089960343
i080-204,80,120,16,1.845,25.748,13.95548533612284
i080-205,80,120,16,1.861,26.054,13.999930145458647
i080-211,80,350,16,2.033,25.941,12.759902804216408
i080-212,80,350,16,1.974,26.199,13.271974306107872
i080-213,80,350,16,1.888,26.121,13.835207440638555
i080-214,80,350,16,2.29,26.478,11.562399290832792
i080-215,80,350,16,1.901,26.912,14.156690390897468
i080-221,80,3160,16,2.167,26.951,12.436956912981483
i080-222,80,3160,16,2.102,27.448,13.057982597608955
i080-223,80,3160,16,2.517,26.808,10.650736389605127
i080-224,80,3160,16,2.028,27.429,13.525086168214159
i080-225,80,3160,16,2.178,27.429,12.593610681310002
i080-231,80,160,16,2.091,27.922,13.353360337827173
i080-232,80,160,16,2.285,27.227,11.915488334843172
i080-233,80,160,16,2.049,26.988,13.171243673774164
i080-234,80,160,16,2.209,27.539,12.466675116907574
i080-235,80,160,16,2.243,27.327,12.183186878346508
i080-241,80,632,16,1.992,26.967,13.537587662712536
i080-242,80,632,16,2.068,27.585,13.338915188998119
i080-243,80,632,16,2.067,27.412,13.26167265760688
i080-244,80,632,16,1.96,27.226,13.890750557395114
i080-245,80,632,16,2.408,26.946,11.19015701762036
i080-301,80,120,20,over 30s,over 30s,a lot
i080-302,80,120,20,over 30s,over 30s,a lot
i080-303,80,120,20,over 30s,over 30s,a lot
i080-304,80,120,20,over 30s,over 30s,a lot
i080-305,80,120,20,over 30s,over 30s,a lot
i080-311,80,350,20,over 30s,over 30s,a lot
i080-312,80,350,20,over 30s,over 30s,a lot
i080-313,80,350,20,over 30s,over 30s,a lot
i080-314,80,350,20,over 30s,over 30s,a lot
i080-315,80,350,20,over 30s,over 30s,a lot
i080-321,80,3160,20,over 30s,over 30s,a lot
i080-322,80,3160,20,over 30s,over 30s,a lot
i080-323,80,3160,20,over 30s,over 30s,a lot
i080-324,80,3160,20,over 30s,over 30s,a lot
i080-325,80,3160,20,over 30s,over 30s,a lot
i080-331,80,160,20,over 30s,over 30s,a lot
i080-332,80,160,20,over 30s,over 30s,a lot
i080-333,80,160,20,over 30s,over 30s,a lot
i080-334,80,160,20,over 30s,over 30s,a lot
i080-335,80,160,20,over 30s,over 30s,a lot
i080-341,80,632,20,over 30s,over 30s,a lot
i080-342,80,632,20,over 30s,over 30s,a lot
i080-343,80,632,20,over 30s,over 30s,a lot
i080-344,80,632,20,over 30s,over 30s,a lot
i080-345,80,632,20,over 30s,over 30s,a lot
i160-001,160,240,7,0.027,0.057,2.1106997408367274
i160-002,160,240,7,0.019,0.057,2.998947922146239
i160-003,160,240,7,0.019,0.057,2.998947922146239
i160-004,160,240,7,0.018,0.059,3.2765130483064966
i160-005,160,240,7,0.02,0.056,2.799100449775113
i160-011,160,812,7,0.026,0.064,2.4609765474817378
i160-012,160,812,7,0.034,0.068,1.999705968832696
i160-013,160,812,7,0.032,0.068,2.1246485473289596
i160-014,160,812,7,0.027,0.068,2.5179563124768607
i160-015,160,812,7,0.028,0.067,2.3923598714744734
i160-021,160,12720,7,0.136,0.178,1.3088008234688624
i160-022,160,12720,7,0.135,0.162,1.1999851862824975
i160-023,160,12720,7,0.129,0.163,1.2635454615921247
i160-024,160,12720,7,0.127,0.163,1.2834422486418393
i160-025,160,12720,7,0.129,0.168,1.3023021471203784
i160-031,160,320,7,0.021,0.064,3.046644455021418
i160-032,160,320,7,0.02,0.072,3.598700649675162
i160-033,160,320,7,0.019,0.069,3.630194634402946
i160-034,160,320,7,0.022,0.063,2.86278964107224
i160-035,160,320,7,0.021,0.058,2.7610661589719183
i160-041,160,2544,7,0.047,0.086,1.829610721123165
i160-042,160,2544,7,0.047,0.082,1.7445224420336098
i160-043,160,2544,7,0.047,0.083,1.7657945118059986
i160-044,160,2544,7,0.046,0.086,1.8693762225603126
i160-045,160,2544,7,0.047,0.084,1.7870665815783875
i160-101,160,240,12,0.055,1.698,30.86729685511725
i160-102,160,240,12,0.044,1.676,38.082481254260394
i160-103,160,240,12,0.055,1.565,28.449554626431556
i160-104,160,240,12,0.059,1.635,27.70733773936621
i160-105,160,240,12,0.048,1.621,33.76400749843783
i160-111,160,812,12,0.059,1.673,28.3512963904423
i160-112,160,812,12,0.059,1.63,27.622606337908827
i160-113,160,812,12,0.059,1.607,27.23284189120488
i160-114,160,812,12,0.062,1.664,26.83454281567489
i160-115,160,812,12,0.063,1.62,25.7103634343755
i160-121,160,12720,12,0.16,1.741,10.88063246047122
i160-122,160,12720,12,0.164,1.782,10.865252118773245
i160-123,160,12720,12,0.17,1.789,10.522969237103698
i160-124,160,12720,12,0.181,1.737,9.59621015413513
i160-125,160,12720,12,0.165,1.668,10.10853887643173
i160-131,160,320,12,0.053,1.601,30.202037351443124
i160-132,160,320,12,0.047,1.658,35.26930440331844
i160-133,160,320,12,0.047,1.63,34.67368644969155
i160-134,160,320,12,0.047,1.689,35.928738566262496
i160-135,160,320,12,0.058,1.632,28.133252887433198
i160-141,160,2544,12,0.085,1.627,19.139042465592283
i160-142,160,2544,12,0.085,1.591,18.715562874955886
i160-143,160,2544,12,0.086,1.677,19.497849087315434
i160-144,160,2544,12,0.106,1.632,15.394868408640695
i160-145,160,2544,12,0.073,1.761,24.120120531434054
i320-001,320,480,8,0.075,0.345,4.599520063991468
i320-002,320,480,8,0.074,0.346,4.67517902986083
i320-003,320,480,8,0.078,0.342,4.3841815151903605
