name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
i640-001,640,960,9,0.295,0,2.157,2.453,4033
i640-002,640,960,9,0.297,0,2.113,2.411,3588
i640-003,640,960,9,0.295,0,2.112,2.408,3438
i640-004,640,960,9,0.293,0,2.114,2.407,4000
i640-005,640,960,9,0.291,0,2.113,2.405,4006
i640-011,640,4135,9,0.489,0,2.112,2.603,2392
i640-012,640,4135,9,0.494,0,2.113,2.608,2465
i640-013,640,4135,9,0.477,0,2.112,2.59,2399
i640-014,640,4135,9,0.484,0,2.117,2.603,2171
i640-015,640,4135,9,0.488,0,2.107,2.596,2347
i640-021,640,204480,9,7.342,0,2.105,9.448,1749
i640-022,640,204480,9,7.327,0,2.107,9.435,1756
i640-023,640,204480,9,7.341,0,2.107,9.449,1754
i640-024,640,204480,9,7.352,0,2.128,9.481,1751
i640-025,640,204480,9,7.348,0,2.107,9.456,1745
i640-031,640,1280,9,0.323,0,2.123,2.448,3278
i640-032,640,1280,9,0.324,0,2.113,2.438,3187
i640-033,640,1280,9,0.325,0,2.113,2.439,3260
i640-034,640,1280,9,0.323,0,2.113,2.437,2953
i640-035,640,1280,9,0.326,0,2.112,2.44,3292
i640-041,640,40896,9,1.935,0,2.11,4.047,1897
i640-042,640,40896,9,1.937,0,2.112,4.05,1934
i640-043,640,40896,9,1.969,0,2.11,4.08,1931
i640-044,640,40896,9,1.939,0,2.112,4.052,1938
i640-045,640,40896,9,1.953,0,2.116,4.07,1866
