name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
lin01,53,80,4,0.004,0,0,0.004,503
lin02,55,82,6,0.006,0,0.003,0.01,557
lin03,57,84,8,0.005,0,0.014,0.019,926
lin04,157,266,6,0.022,0,0.015,0.038,1239
lin05,160,269,9,0.023,0,0.147,0.171,1703
lin06,165,274,14,0.023,0.005,9.09,9.12,1348
lin07,307,526,6,0.065,0,0.058,0.123,1885
lin08,311,530,10,0.067,0,1.075,1.143,2248
lin09,313,532,12,0.068,0.002,4.902,4.972,2752
lin10,321,540,20,n/a,n/a,n/a,over 30s,n/a
lin11,816,1460,10,0.455,0.001,6.932,7.388,4280
lin12,818,1462,12,0.45,0.005,29.316,29.772,5250
lin13,822,1466,16,n/a,n/a,n/a,over 30s,n/a
