name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
p601,100,180,0,0,0,0,0,0
p602,100,180,5,0.016,0,0.003,0.019,8083
p603,100,180,5,0.016,0,0.003,0.019,5022
p604,100,180,10,0.014,0,0.136,0.151,11397
p605,100,180,10,0.014,0,0.144,0.158,10355
p606,100,180,10,0.015,0,0.136,0.152,13048
p607,100,180,20,n/a,n/a,n/a,over 30s,n/a
p608,100,180,20,n/a,n/a,n/a,over 30s,n/a
p609,100,180,20,n/a,n/a,n/a,over 30s,n/a
p613,200,370,10,0.036,0,0.476,0.513,18429
p614,200,370,20,n/a,n/a,n/a,over 30s,n/a
