name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
i160-001,160,240,7,0.001,0,0,0.002,2490
i160-002,160,240,7,0.001,0,0,0.002,2158
i160-003,160,240,7,0.001,0,0,0.002,2297
i160-004,160,240,7,0.001,0,0,0.002,2370
i160-005,160,240,7,0.001,0,0,0.002,2495
i160-011,160,812,7,0.002,0,0,0.003,1677
i160-012,160,812,7,0.002,0,0,0.003,1750
i160-013,160,812,7,0.002,0,0,0.003,1661
i160-014,160,812,7,0.002,0,0,0.003,1778
i160-015,160,812,7,0.002,0,0,0.003,1768
i160-021,160,12720,7,0.009,0,0,0.01,1352
i160-022,160,12720,7,0.008,0,0,0.01,1365
i160-023,160,12720,7,0.009,0,0,0.01,1351
i160-024,160,12720,7,0.008,0,0,0.01,1371
i160-025,160,12720,7,0.009,0,0,0.01,1366
i160-031,160,320,7,0.001,0,0,0.002,2170
i160-032,160,320,7,0.004,0.001,0,0.006,2330
i160-033,160,320,7,0.001,0,0,0.002,2101
i160-034,160,320,7,0.001,0,0,0.002,2083
i160-035,160,320,7,0.001,0,0,0.002,2103
i160-041,160,2544,7,0.004,0,0,0.005,1494
i160-042,160,2544,7,0.004,0,0,0.005,1486
i160-043,160,2544,7,0.004,0,0,0.005,1549
i160-044,160,2544,7,0.004,0,0,0.005,1478
i160-045,160,2544,7,0.004,0,0,0.005,1554
i160-101,160,240,12,0.001,0.002,0.009,0.013,3859
i160-102,160,240,12,0.001,0.002,0.009,0.013,3747
i160-103,160,240,12,0.001,0.002,0.009,0.013,3837
i160-104,160,240,12,0.001,0.002,0.009,0.013,4063
i160-105,160,240,12,0.001,0.002,0.009,0.013,3563
i160-111,160,812,12,0.002,0.002,0.009,0.014,2869
i160-112,160,812,12,0.002,0.002,0.009,0.014,2924
i160-113,160,812,12,0.002,0.002,0.009,0.014,2866
i160-114,160,812,12,0.002,0.002,0.009,0.014,2989
i160-115,160,812,12,0.002,0.002,0.009,0.014,2937
i160-121,160,12720,12,0.008,0.002,0.009,0.02,2363
i160-122,160,12720,12,0.008,0.002,0.009,0.02,2348
i160-123,160,12720,12,0.008,0.002,0.009,0.02,2355
i160-124,160,12720,12,0.011,0.002,0.009,0.023,2352
i160-125,160,12720,12,0.008,0.002,0.009,0.02,2351
i160-131,160,320,12,0.001,0.002,0.009,0.013,3356
i160-132,160,320,12,0.001,0.002,0.009,0.013,3450
i160-133,160,320,12,0.001,0.002,0.009,0.013,3585
i160-134,160,320,12,0.001,0.002,0.009,0.013,3470
i160-135,160,320,12,0.001,0.002,0.009,0.013,3716
i160-141,160,2544,12,0.009,0.002,0.009,0.02,2549
i160-142,160,2544,12,0.004,0.002,0.009,0.016,2562
i160-143,160,2544,12,0.004,0.002,0.009,0.016,2557
i160-144,160,2544,12,0.004,0.002,0.009,0.016,2607
i160-145,160,2544,12,0.004,0.002,0.009,0.016,2578
