name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
lin01,53,80,4,0,0,0,0,503
lin02,55,82,6,0,0,0,0,557
lin03,57,84,8,0,0,0,0,926
lin04,157,266,6,0.001,0,0,0.002,1239
lin05,160,269,9,0.001,0,0.001,0.003,1703
lin06,165,274,14,0.001,0.008,0.051,0.062,1348
lin07,307,526,6,0.005,0.001,0,0.007,1885
lin08,311,530,10,0.006,0.001,0.007,0.015,2248
lin09,313,532,12,0.006,0.004,0.026,0.037,2752
lin10,321,540,20,n/a,n/a,n/a,over 30s,n/a
lin11,816,1460,10,0.045,0.008,0.035,0.089,4280
lin12,818,1462,12,0.046,0.016,0.148,0.211,5250
lin13,822,1466,16,0.046,0.168,3.625,3.84,4609
