name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
msm0580,338,541,11,0.005,0.003,0.015,0.024,467
msm0654,1290,2270,10,0.08,0.019,0.083,0.184,823
msm0709,1442,2403,16,0.11,0.334,9.546,9.991,884
msm1008,402,695,11,0.007,0.003,0.02,0.031,494
msm1234,933,1632,13,0.044,0.03,0.417,0.492,550
msm1707,278,478,11,0.002,0.002,0.01,0.016,564
msm1844,90,135,10,0,0,0,0.001,188
msm1931,875,1522,10,0.036,0.009,0.04,0.087,604
msm2000,898,1562,10,0.038,0.01,0.041,0.09,594
msm2326,418,723,14,0.008,0.022,0.208,0.238,399
msm2705,1359,2458,13,0.09,0.049,0.841,0.982,714
msm3676,957,1554,10,0.047,0.011,0.046,0.105,607
msm4038,237,390,11,0.002,0.002,0.008,0.012,353
msm4114,402,690,16,0.007,0.079,1.173,1.261,393
msm4190,391,666,16,0.007,0.076,1.278,1.362,381
msm4224,191,302,11,0.001,0.001,0.007,0.01,311
msm4414,317,476,11,0.004,0.003,0.013,0.02,408
msm4515,777,1358,13,0.029,0.024,0.287,0.341,630
