name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
taq0023,572,963,11,0.016,0.006,0.043,0.066,621
taq0431,1128,1905,13,0.076,0.04,0.748,0.865,897
taq0631,609,932,10,0.019,0.005,0.024,0.048,581
taq0739,837,1438,16,0.034,0.174,4.125,4.334,848
taq0741,712,1217,16,0.024,0.144,3.19,3.359,847
taq0751,1051,1791,16,0.056,0.209,6.059,6.325,939
taq0891,331,560,10,0.005,0.002,0.008,0.016,319
taq0910,310,514,17,0.004,0.125,2.275,2.405,370
taq0920,122,194,17,0,0.053,0.726,0.78,210
taq0978,777,1239,10,0.031,0.008,0.035,0.074,566
