name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time
i320-001,161,314,8,0.002,0,0,0.003
i320-002,155,313,8,0.001,0,0,0.003
i320-003,170,327,8,0.002,0,0,0.003
i320-004,151,303,8,0.001,0,0,0.003
i320-005,156,310,8,0.001,0,0,0.003
i320-011,320,1845,8,0.012,0.001,0.002,0.016
i320-012,320,1845,8,0.012,0.001,0.002,0.016
i320-013,320,1845,8,0.012,0.001,0.002,0.017
i320-014,320,1845,8,0.012,0.001,0.002,0.016
i320-015,320,1845,8,0.012,0.001,0.002,0.016
i320-021,320,51032,8,0.062,0.001,0.003,0.066
i320-022,320,51028,8,0.061,0.001,0.002,0.065
i320-023,320,51026,8,0.073,0.001,0.003,0.078
i320-024,320,51026,8,0.062,0.001,0.002,0.066
i320-025,320,51032,8,0.062,0.001,0.002,0.067
i320-031,237,553,8,0.004,0,0.001,0.006
i320-032,251,567,8,0.005,0.001,0.001,0.007
i320-033,237,554,8,0.004,0,0.001,0.006
i320-034,232,546,8,0.004,0,0.001,0.006
i320-035,238,554,8,0.004,0,0.001,0.007
i320-041,320,10208,8,0.034,0.001,0.002,0.038
i320-042,320,10208,8,0.033,0.001,0.002,0.036
i320-043,320,10207,8,0.038,0.001,0.003,0.043
i320-044,320,10208,8,0.032,0.001,0.002,0.036
i320-045,320,10208,8,0.034,0.001,0.002,0.038
i320-101,150,300,16,0.001,0.031,0.361,0.395
i320-102,159,311,14,0.001,0.009,0.051,0.062
i320-103,160,311,17,0.002,0.064,1.155,1.222
i320-104,154,304,17,0.001,0.063,1.021,1.087
i320-105,161,313,16,0.001,0.033,0.4,0.435
i320-111,320,1845,17,0.012,0.128,2.627,2.768
i320-112,320,1845,17,0.012,0.124,2.313,2.45
i320-113,320,1845,17,0.012,0.125,2.318,2.456
i320-114,320,1845,17,0.012,0.13,2.568,2.711
i320-115,320,1845,17,0.012,0.125,2.323,2.46
i320-121,320,50948,17,0.061,0.126,2.333,2.52
i320-122,320,50946,17,0.066,0.126,2.343,2.536
i320-123,320,50947,17,0.066,0.125,2.355,2.547
i320-124,320,50957,17,0.086,0.152,2.347,2.586
i320-125,320,50966,17,0.06,0.126,2.335,2.522
i320-131,253,569,17,0.005,0.1,1.684,1.79
i320-132,249,563,15,0.005,0.025,0.225,0.255
i320-133,243,559,16,0.004,0.048,0.586,0.639
i320-134,244,562,17,0.004,0.099,1.623,1.728
i320-135,256,574,17,0.005,0.101,1.756,1.863
i320-141,320,10202,17,0.03,0.126,2.329,2.486
i320-142,320,10204,17,0.03,0.126,2.328,2.485
i320-143,320,10206,17,0.031,0.127,2.315,2.473
i320-144,320,10202,17,0.03,0.127,2.322,2.48
i320-145,320,10205,17,0.03,0.126,2.322,2.479
