name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time
msm0580,47,72,10,0,0,0,0
msm0654,5,6,3,0,0,0,0
msm0709,111,185,10,0,0,0.001,0.002
msm1008,39,60,7,0,0,0,0
msm1234,7,9,4,0,0,0,0
msm1707,0,0,0,0,0,0,0
msm1844,7,9,4,0,0,0,0
msm1931,7,9,3,0,0,0,0
msm2000,0,0,0,0,0,0,0
msm2326,31,47,7,0,0,0,0
msm2705,18,27,6,0,0,0,0
msm3676,10,14,5,0,0,0,0
msm4038,11,16,5,0,0,0,0
msm4114,0,0,0,0,0,0,0
msm4190,0,0,0,0,0,0,0
msm4224,16,24,6,0,0,0,0
msm4414,0,0,0,0,0,0,0
msm4515,63,103,10,0,0,0,0.001
