name,nodes,edges,terminals,nodes',edges',terminals',time,result
i640-001,640,960,9,319,635,9,0.016,4033
i640-002,640,960,9,304,614,9,0.013,3588
i640-003,640,960,9,304,612,9,0.010,3438
i640-004,640,960,9,307,622,9,0.018,4000
i640-005,640,960,9,324,642,9,0.026,4006
i640-011,640,4135,9,640,4135,9,0.098,2392
i640-012,640,4135,9,640,4135,9,0.093,2465
i640-013,640,4135,9,640,4135,9,0.098,2399
i640-014,640,4135,9,640,4135,9,0.082,2171
i640-015,640,4135,9,640,4135,9,0.083,2347
i640-021,640,204480,9,640,204467,9,0.283,1749
i640-022,640,204480,9,640,204462,9,0.299,1756
i640-023,640,204480,9,640,204460,9,0.288,1754
i640-024,640,204480,9,640,204463,9,0.288,1751
i640-025,640,204480,9,640,204460,9,0.302,1745
i640-031,640,1280,9,486,1120,9,0.033,3278
i640-032,640,1280,9,478,1116,9,0.025,3187
i640-033,640,1280,9,484,1122,9,0.041,3260
i640-034,640,1280,9,486,1123,9,0.022,2953
i640-035,640,1280,9,481,1119,9,0.020,3292
i640-041,640,40896,9,640,40895,9,0.151,1897
i640-042,640,40896,9,640,40896,9,0.137,1934
i640-043,640,40896,9,640,40896,9,0.150,1931
i640-044,640,40896,9,640,40895,9,0.147,1938
i640-045,640,40896,9,640,40896,9,0.145,1866
