name,nodes,edges,terminals,nodes',edges',terminals',time,result
lin01,53,80,4,2,1,1,0.000,503
lin02,55,82,6,2,1,1,0.000,557
lin03,57,84,8,15,20,6,0.000,926
lin04,157,266,6,10,13,4,0.000,1239
lin05,160,269,9,37,56,8,0.001,1703
lin06,165,274,14,0,0,0,0.000,1348
lin07,307,526,6,28,40,5,0.000,1885
lin08,311,530,10,0,0,0,0.000,2248
lin09,313,532,12,68,107,7,0.000,2752
lin10,321,540,20,104,160,16,0.003,4132
lin11,816,1460,10,204,345,9,0.001,4280
lin12,818,1462,12,265,453,11,0.008,5250
lin13,822,1466,16,175,292,14,0.002,4609
