name,nodes,edges,terminals,nodes',edges',terminals',time,result
msm0580,338,541,11,47,72,10,0.001,467
msm0654,1290,2270,10,5,6,3,0.000,823
msm0709,1442,2403,16,111,185,10,0.000,884
msm1008,402,695,11,39,60,7,0.000,494
msm1234,933,1632,13,7,9,4,0.000,550
msm1707,278,478,11,0,0,0,0.000,564
msm1844,90,135,10,7,9,4,0.000,188
msm1931,875,1522,10,7,9,3,0.000,604
msm2000,898,1562,10,0,0,0,0.000,594
msm2326,418,723,14,31,47,7,0.001,399
msm2705,1359,2458,13,18,27,6,0.000,714
msm3676,957,1554,10,10,14,5,0.000,607
msm4038,237,390,11,11,16,5,0.000,353
msm4114,402,690,16,0,0,0,0.000,393
msm4190,391,666,16,0,0,0,0.000,381
msm4224,191,302,11,16,24,6,0.000,311
msm4414,317,476,11,0,0,0,0.000,408
msm4515,777,1358,13,63,103,10,0.001,630
