test,nodes,edges,terminals,gpu_results,cpu_results,wata-orz_results,wata-orz_results_with_preprocessing
b01,50,63,9,0,0.029,0.001,0.000
b04,50,100,9,0,0.026,0.003,0.001
b10,75,150,13,0.01,1.178,0.013,0.003
es10fst01,18,20,10,0,0.016,0.000,0.000
es10fst02,14,13,10,0,0.014,0.000,0.000
es10fst03,17,20,10,0,0.016,0.000,0.000
es10fst04,18,20,10,0,0.017,0.000,0.000
es10fst05,12,11,10,0,0.011,0.000,0.000
es10fst06,17,20,10,0,0.016,0.000,0.000
es10fst07,14,13,10,0,0.014,0.000,0.000
es10fst08,21,28,10,0,0.02,0.001,0.000
es10fst09,21,29,10,0,0.021,0.000,0.001
es10fst10,18,21,10,0,0.016,0.000,0.000
es10fst11,14,13,10,0,0.014,0.000,0.000
es10fst12,13,12,10,0,0.011,0.000,0.000
es10fst13,18,21,10,0,0.019,0.000,0.000
es10fst14,24,32,10,0,0.02,0.000,0.001
es10fst15,16,18,10,0,0.014,0.000,0.000
i080-001,80,120,6,0,0.012,0.001,0.001
i080-002,80,120,6,0,0.015,0.000,0.001
i080-003,80,120,6,0,0.015,0.001,0.001
i080-004,80,120,6,0,0.012,0.001,0.001
i080-005,80,120,6,0,0.014,0.002,0.002
i080-011,80,350,6,0.001,0.016,0.002,0.003
i080-012,80,350,6,0.001,0.017,0.003,0.004
i080-013,80,350,6,0.002,0.015,0.003,0.004
i080-014,80,350,6,0,0.013,0.003,0.004
i080-015,80,350,6,0.001,0.018,0.003,0.004
i080-021,80,3160,6,0.001,0.029,0.005,0.008
i080-022,80,3160,6,0.001,0.028,0.004,0.008
i080-023,80,3160,6,0.001,0.026,0.004,0.007
i080-024,80,3160,6,0.001,0.025,0.004,0.005
i080-025,80,3160,6,0.001,0.025,0.004,0.010
i080-031,80,160,6,0,0.016,0.001,0.003
i080-032,80,160,6,0,0.015,0.002,0.003
i080-033,80,160,6,0,0.017,0.002,0.003
i080-034,80,160,6,0,0.016,0.001,0.003
i080-035,80,160,6,0,0.009,0.002,0.003
i080-041,80,632,6,0.001,0.018,0.003,0.005
i080-042,80,632,6,0.001,0.016,0.004,0.005
i080-043,80,632,6,0.001,0.019,0.003,0.005
i080-044,80,632,6,0.001,0.02,0.003,0.002
i080-045,80,632,6,0.001,0.02,0.004,0.004
i080-101,80,120,8,0,0.049,0.002,0.002
i080-102,80,120,8,0,0.027,0.002,0.002
i080-103,80,120,8,0,0.028,0.004,0.002
i080-104,80,120,8,0,0.034,0.005,0.005
i080-105,80,120,8,0,0.03,0.001,0.001
i080-111,80,350,8,0.001,0.035,0.014,0.010
i080-112,80,350,8,0.002,0.032,0.009,0.014
i080-113,80,350,8,0.001,0.031,0.010,0.010
i080-114,80,350,8,0.001,0.032,0.013,0.016
i080-115,80,350,8,0.001,0.027,0.015,0.015
i080-121,80,3160,8,0.002,0.042,0.010,0.016
i080-122,80,3160,8,0.001,0.047,0.012,0.014
i080-123,80,3160,8,0.002,0.04,0.016,0.016
i080-124,80,3160,8,0.002,0.044,0.013,0.017
i080-125,80,3160,8,0.002,0.042,0.011,0.012
i080-131,80,160,8,0.001,0.031,0.002,0.003
i080-132,80,160,8,0.001,0.03,0.009,0.006
i080-133,80,160,8,0.001,0.03,0.003,0.003
i080-134,80,160,8,0.001,0.03,0.010,0.011
i080-135,80,160,8,0.001,0.032,0.002,0.006
i080-141,80,632,8,0.001,0.033,0.010,0.017
i080-142,80,632,8,0.001,0.036,0.013,0.013
i080-143,80,632,8,0.001,0.034,0.011,0.013
i080-144,80,632,8,0.002,0.034,0.014,0.012
i080-145,80,632,8,0.001,0.033,0.015,0.015
i080-211,80,350,16,0.167,25.941,18.774,18.520
i080-212,80,350,16,0.163,26.199,18.882,18.226
i080-213,80,350,16,0.176,26.121,18.596,19.095
i080-214,80,350,16,0.19,26.478,19.537,19.030
i080-215,80,350,16,0.189,26.912,19.026,18.637
i080-221,80,3160,16,0.191,26.951,22.169,22.040
i080-222,80,3160,16,0.192,27.448,22.457,21.294
i080-223,80,3160,16,0.191,26.808,23.922,21.431
i080-224,80,3160,16,0.181,27.429,22.687,21.355
i080-225,80,3160,16,0.168,27.429,22.476,21.115
i080-231,80,160,16,0.173,27.922,2.813,2.444
i080-232,80,160,16,0.192,27.227,6.024,5.230
i080-233,80,160,16,0.185,26.988,2.013,1.605
i080-234,80,160,16,0.188,27.539,0.962,0.726
i080-235,80,160,16,0.169,27.327,0.426,0.191
i080-241,80,632,16,0.195,26.967,22.379,20.674
i080-242,80,632,16,0.186,27.585,20.733,19.115
i080-243,80,632,16,0.187,27.412,20.995,19.397
i080-244,80,632,16,0.196,27.226,20.535,18.830
i080-245,80,632,16,0.179,26.946,22.087,20.584
i080-311,80,350,20,14.42,over 30s,over 30s,over 30s
i080-312,80,350,20,13.837,over 30s,over 30s,over 30s
i080-313,80,350,20,13.817,over 30s,over 30s,over 30s
i080-314,80,350,20,13.867,over 30s,over 30s,over 30s
i080-315,80,350,20,13.875,over 30s,over 30s,over 30s
i080-321,80,3160,20,14.242,over 30s,over 30s,over 30s
i080-322,80,3160,20,14.453,over 30s,over 30s,over 30s
i080-323,80,3160,20,13.832,over 30s,over 30s,over 30s
i080-324,80,3160,20,13.87,over 30s,over 30s,over 30s
i080-325,80,3160,20,14.006,over 30s,over 30s,over 30s
i080-331,80,160,20,13.779,over 30s,over 30s,over 30s
i080-332,80,160,20,13.746,over 30s,over 30s,over 30s
i080-333,80,160,20,14.067,over 30s,over 30s,over 30s
i080-334,80,160,20,13.86,over 30s,over 30s,over 30s
i080-335,80,160,20,13.854,over 30s,over 30s,over 30s
i080-341,80,632,20,13.773,over 30s,over 30s,over 30s
i080-342,80,632,20,13.658,over 30s,over 30s,over 30s
i080-343,80,632,20,13.384,over 30s,over 30s,over 30s
i080-344,80,632,20,13.597,over 30s,over 30s,over 30s
i080-345,80,632,20,13.994,over 30s,over 30s,over 30s
i160-001,160,240,7,0.002,0.057,0.004,0.002
i160-005,160,240,7,0.002,0.056,0.004,0.004
i160-011,160,812,7,0.003,0.064,0.010,0.006
i160-012,160,812,7,0.003,0.068,0.004,0.006
i160-013,160,812,7,0.003,0.068,0.004,0.009
i160-014,160,812,7,0.003,0.068,0.005,0.007
i160-015,160,812,7,0.003,0.067,0.005,0.008
i160-021,160,12720,7,0.01,0.178,0.010,0.029
i160-022,160,12720,7,0.01,0.162,0.010,0.022
i160-023,160,12720,7,0.01,0.163,0.010,0.021
i160-024,160,12720,7,0.01,0.163,0.011,0.021
i160-025,160,12720,7,0.01,0.168,0.010,0.025
i160-031,160,320,7,0.002,0.064,0.005,0.006
i160-033,160,320,7,0.002,0.069,0.006,0.008
i160-035,160,320,7,0.002,0.058,0.004,0.006
i160-041,160,2544,7,0.005,0.086,0.007,0.011
i160-042,160,2544,7,0.005,0.082,0.008,0.011
i160-043,160,2544,7,0.005,0.083,0.008,0.013
i160-044,160,2544,7,0.005,0.086,0.011,0.010
i160-045,160,2544,7,0.005,0.084,0.008,0.010
i160-101,160,240,12,0.013,1.698,0.036,0.022
