test,n,m,t,DW CPU,DW GPU,DW GPU P,Pruning,Pruning P
b01,50,63,9,0.029,0.000,0.000,0.001,0.000
b02,50,63,13,0.685,0.006,0.000,0.002,0.000
b04,50,100,9,0.026,0.000,0.000,0.003,0.001
b05,50,100,13,0.694,0.006,0.000,0.006,0.000
b07,75,94,13,1.18,0.009,0.000,0.005,0.000
b08,75,94,19,over 30s,3.819,0.000,0.008,0.000
b10,75,150,13,1.178,0.01,0.000,0.013,0.003
b11,75,150,19,over 30s,3.976,0.000,0.015,0.001
b13,100,125,17,over 30s,0.585,0.000,0.034,0.001
b16,100,200,17,over 30s,0.581,0.002,0.019,0.006
c01,500,625,5,0.257,0.019,0.001,0.001,0.008
c02,500,625,10,2.964,0.034,0.001,0.007,0.009
c06,500,1000,5,0.31,0.026,0.015,0.002,0.010
c07,500,1000,10,2.916,0.042,0.019,0.027,0.022
c11,500,2500,5,0.439,0.04,0.036,0.001,0.032
c12,500,2500,10,3.081,0.056,0.035,0.022,0.039
c16,500,12500,5,0.839,0.079,0.031,0.003,0.100
c17,500,12500,10,3.47,0.094,0.03,0.023,0.097
d01,1000,1250,5,1.041,0.081,0.006,0.003,0.019
d02,1000,1250,10,11.057,0.136,0.013,0.056,0.037
d06,1000,2000,5,1.25,0.11,0.067,0.007,0.028
d07,1000,2000,10,11.278,0.164,0.098,0.027,0.043
d11,1000,5000,5,1.773,0.162,0.138,0.003,0.078
d12,1000,5000,10,11.809,0.216,0.147,0.035,0.075
d16,1000,25000,5,3.399,0.324,0.137,0.005,0.379
d17,1000,25000,10,13.394,0.377,0.161,0.069,0.405
diw0250,353,608,11,3.072,0.032,0.000,0.005,0.004
diw0260,539,985,12,13.792,0.088,0.000,0.005,0.011
diw0313,468,822,14,over 30s,0.303,0.000,0.002,0.009
diw0393,212,381,11,1.192,0.011,0.000,0.004,0.007
diw0460,339,579,13,12.859,0.081,0.000,0.005,0.008
diw0495,938,1655,10,9.798,0.101,0.000,0.011,0.017
diw0513,918,1684,10,9.587,0.092,0.000,0.009,0.011
diw0523,1080,2015,10,13.086,0.131,0.000,0.007,0.011
diw0540,286,465,10,1.008,0.011,0.000,0.005,0.006
dmxa0296,233,386,12,3.04,0.021,0.000,0.003,0.004
dmxa0628,169,280,10,0.37,0.004,0.000,0.004,0.003
dmxa0734,663,1154,11,9.808,0.079,0.000,0.010,0.013
dmxa0848,499,861,16,over 30s,1.747,0.005,0.036,0.018
dmxa0903,632,1087,10,4.47,0.047,0.001,0.011,0.016
dmxa1109,343,559,17,over 30s,2.477,0.000,0.014,0.014
dmxa1304,298,503,10,1.071,0.012,0.000,0.006,0.005
dmxa1516,720,1269,11,11.615,0.092,0.000,0.005,0.010
dmxa1721,1005,1731,18,over 30s,over 30s,0.000,0.028,0.018
es10fst01,18,20,10,0.016,0.000,0.000,0.000,0.000
es10fst02,14,13,10,0.014,0.000,0.000,0.000,0.000
es10fst03,17,20,10,0.016,0.000,0.000,0.000,0.000
es10fst04,18,20,10,0.017,0.000,0.000,0.000,0.000
es10fst05,12,11,10,0.011,0.000,0.000,0.000,0.000
es10fst06,17,20,10,0.016,0.000,0.000,0.000,0.000
es10fst07,14,13,10,0.014,0.000,0.000,0.000,0.000
es10fst08,21,28,10,0.02,0.000,0.000,0.001,0.000
es10fst09,21,29,10,0.021,0.000,0.000,0.000,0.001
es10fst10,18,21,10,0.016,0.000,0.000,0.000,0.000
es10fst11,14,13,10,0.014,0.000,0.000,0.000,0.000
es10fst12,13,12,10,0.011,0.000,0.000,0.000,0.000
es10fst13,18,21,10,0.019,0.000,0.000,0.000,0.000
es10fst14,24,32,10,0.02,0.000,0.000,0.000,0.001
es10fst15,16,18,10,0.014,0.000,0.000,0.000,0.000
gap1307,342,552,17,over 30s,2.629,0.000,0.020,0.007
gap1413,541,906,10,3.299,0.035,0.000,0.011,0.008
gap1500,220,374,17,over 30s,1.428,0.000,0.005,0.002
gap1810,429,702,17,over 30s,3.379,0.000,0.011,0.006
gap2740,1196,2084,14,over 30s,1.512,0.001,0.019,0.019
gap2800,386,653,12,7.326,0.049,0.000,0.005,0.009
gap2975,179,293,10,0.411,0.005,0.000,0.003,0.002
gap3036,346,583,13,12.999,0.086,0.000,0.016,0.013
gap3100,921,1558,11,18.48,0.146,0.004,0.008,0.022
i080-001,80,120,6,0.012,0.000,0.000,0.001,0.001
i080-002,80,120,6,0.015,0.000,0.000,0.000,0.001
i080-003,80,120,6,0.015,0.000,0.000,0.001,0.001
i080-004,80,120,6,0.012,0.000,0.000,0.001,0.001
i080-005,80,120,6,0.014,0.000,0.000,0.002,0.002
i080-011,80,350,6,0.016,0.001,0.001,0.002,0.003
