test,nodes,edges,terminals,cpu_results,gpu_results,wata-orz_results,wata-orz_results_with_preprocessing
b01,50,63,9,0.028,0.214,0.001,0.000
b02,50,63,13,0.73,0.302,0.002,0.000
b04,50,100,9,0.028,0.255,0.003,0.001
b05,50,100,13,0.704,0.331,0.006,0.000
b07,75,94,13,1.206,0.401,0.005,0.000
b08,75,94,19,over 30s,over 30s,0.008,0.000
b10,75,150,13,1.193,0.261,0.013,0.003
b11,75,150,19,over 30s,over 30s,0.015,0.001
b13,100,125,17,over 30s,6.599,0.034,0.001
b16,100,200,17,over 30s,6.591,0.019,0.006
c01,500,625,5,2.373,0.329,0.001,0.008
c02,500,625,10,4.998,0.286,0.007,0.009
c06,500,1000,5,2.37,0.342,0.002,0.010
c07,500,1000,10,4.992,0.282,0.027,0.022
c11,500,2500,5,2.381,0.299,0.001,0.032
c12,500,2500,10,4.986,0.347,0.022,0.039
c16,500,12500,5,2.405,0.38,0.003,0.100
c17,500,12500,10,4.95,0.366,0.023,0.097
d01,1000,1250,5,18.553,0.368,0.003,0.019
d02,1000,1250,10,28.56,0.286,0.056,0.037
d06,1000,2000,5,18.405,0.372,0.007,0.028
d07,1000,2000,10,28.57,0.371,0.027,0.043
d11,1000,5000,5,18.662,0.42,0.003,0.078
d12,1000,5000,10,28.616,0.463,0.035,0.075
d16,1000,25000,5,18.484,0.564,0.005,0.379
d17,1000,25000,10,28.544,0.651,0.069,0.405
diw0250,353,608,11,3.732,0.229,0.005,0.004
diw0260,539,985,12,16.329,0.381,0.005,0.011
diw0313,468,822,14,over 30s,0.897,0.002,0.009
diw0393,212,381,11,1.321,0.282,0.004,0.007
diw0460,339,579,13,13.262,0.459,0.005,0.008
diw0495,938,1655,10,24.211,0.311,0.011,0.017
diw0513,918,1684,10,22.984,0.232,0.009,0.011
diw0523,1080,2015,10,over 30s,0.305,0.007,0.011
diw0540,286,465,10,1.366,0.218,0.005,0.006
dmxa0296,233,386,12,3.271,0.32,0.003,0.004
dmxa0628,169,280,10,0.463,0.219,0.004,0.003
dmxa0734,663,1154,11,15.13,0.374,0.010,0.013
dmxa0848,499,861,16,over 30s,5.338,0.036,0.018
dmxa0903,632,1087,10,8.804,0.273,0.011,0.016
dmxa1109,343,559,17,over 30s,11.605,0.014,0.014
dmxa1304,298,503,10,1.508,0.31,0.006,0.005
dmxa1516,720,1269,11,18.038,0.351,0.005,0.010
dmxa1721,1005,1731,18,over 30s,over 30s,0.028,0.018
es10fst01,18,20,10,0.019,0.214,0.000,0.000
es10fst02,14,13,10,0.013,0.203,0.000,0.000
es10fst03,17,20,10,0.019,0.212,0.000,0.000
es10fst04,18,20,10,0.018,0.262,0.000,0.000
es10fst05,12,11,10,0.013,0.268,0.000,0.000
es10fst06,17,20,10,0.017,0.255,0.000,0.000
es10fst07,14,13,10,0.007,0.252,0.000,0.000
es10fst08,21,28,10,0.018,0.238,0.001,0.000
es10fst09,21,29,10,0.021,0.203,0.000,0.001
es10fst10,18,21,10,0.015,0.21,0.000,0.000
es10fst11,14,13,10,0.015,0.246,0.000,0.000
es10fst12,13,12,10,0.014,0.227,0.000,0.000
es10fst13,18,21,10,0.01,0.222,0.000,0.000
es10fst14,24,32,10,0.022,0.254,0.000,0.001
es10fst15,16,18,10,0.018,0.218,0.000,0.000
gap1307,342,552,17,over 30s,10.492,0.020,0.007
gap1413,541,906,10,6.017,0.298,0.011,0.008
gap1500,220,374,17,over 30s,8.119,0.005,0.002
gap1810,429,702,17,over 30s,12.96,0.011,0.006
gap2740,1196,2084,14,over 30s,1.954,0.019,0.019
gap2800,386,653,12,8.277,0.351,0.005,0.009
gap2975,179,293,10,0.495,0.199,0.003,0.002
gap3036,346,583,13,13.703,0.449,0.016,0.013
gap3100,921,1558,11,over 30s,0.451,0.008,0.022
i080-001,80,120,6,0.021,0.187,0.001,0.001
i080-002,80,120,6,0.023,0.234,0.000,0.001
i080-003,80,120,6,0.019,0.225,0.001,0.001
i080-004,80,120,6,0.021,0.209,0.001,0.001
i080-005,80,120,6,0.024,0.221,0.002,0.002
i080-011,80,350,6,0.022,0.235,0.002,0.003
i080-012,80,350,6,0.02,0.275,0.003,0.004
i080-013,80,350,6,0.022,0.261,0.003,0.004
i080-014,80,350,6,0.02,0.327,0.003,0.004
i080-015,80,350,6,0.02,0.242,0.003,0.004
i080-021,80,3160,6,0.021,0.278,0.005,0.008
i080-022,80,3160,6,0.018,0.258,0.004,0.008
i080-023,80,3160,6,0.013,0.215,0.004,0.007
i080-024,80,3160,6,0.02,0.248,0.004,0.005
i080-025,80,3160,6,0.019,0.229,0.004,0.010
i080-031,80,160,6,0.023,0.27,0.001,0.003
i080-032,80,160,6,0.018,0.248,0.002,0.003
i080-033,80,160,6,0.022,0.226,0.002,0.003
i080-034,80,160,6,0.023,0.237,0.001,0.003
i080-035,80,160,6,0.022,0.218,0.002,0.003
i080-041,80,632,6,0.02,0.214,0.003,0.005
i080-042,80,632,6,0.02,0.26,0.004,0.005
i080-043,80,632,6,0.019,0.217,0.003,0.005
i080-044,80,632,6,0.021,0.241,0.003,0.002
i080-045,80,632,6,0.02,0.261,0.004,0.004
i080-101,80,120,8,0.032,0.221,0.002,0.002
i080-102,80,120,8,0.036,0.314,0.002,0.002
i080-103,80,120,8,0.031,0.258,0.004,0.002
i080-104,80,120,8,0.038,0.244,0.005,0.005
i080-105,80,120,8,0.034,0.222,0.001,0.001
i080-111,80,350,8,0.036,0.228,0.014,0.010
i080-112,80,350,8,0.035,0.233,0.009,0.014
i080-113,80,350,8,0.035,0.291,0.010,0.010
i080-114,80,350,8,0.035,0.239,0.013,0.016
i080-115,80,350,8,0.036,0.219,0.015,0.015
i080-121,80,3160,8,0.035,0.194,0.010,0.016
i080-122,80,3160,8,0.035,0.231,0.012,0.014
i080-123,80,3160,8,0.032,0.288,0.016,0.016
i080-124,80,3160,8,0.035,0.199,0.013,0.017
i080-125,80,3160,8,0.031,0.2,0.011,0.012
i080-131,80,160,8,0.035,0.241,0.002,0.003
i080-132,80,160,8,0.039,0.218,0.009,0.006
i080-133,80,160,8,0.035,0.227,0.003,0.003
i080-134,80,160,8,0.036,0.233,0.010,0.011
i080-135,80,160,8,0.037,0.233,0.002,0.006
i080-141,80,632,8,0.034,0.252,0.010,0.017
i080-142,80,632,8,0.032,0.212,0.013,0.013
i080-143,80,632,8,0.037,0.212,0.011,0.013
i080-144,80,632,8,0.036,0.239,0.014,0.012
i080-145,80,632,8,0.036,0.288,0.015,0.015
i080-201,80,120,16,25.633,2.126,0.025,0.009
i080-202,80,120,16,25.576,2.093,0.027,0.013
i080-203,80,120,16,26.277,2.125,0.025,0.004
i080-204,80,120,16,25.856,2.051,0.040,0.019
i080-205,80,120,16,25.565,2.059,0.018,0.003
i080-211,80,350,16,25.394,2.116,18.774,18.520
i080-212,80,350,16,25.349,2.105,18.882,18.226
i080-213,80,350,16,25.528,2.1,18.596,19.095
i080-214,80,350,16,25.605,2.141,19.537,19.030
i080-215,80,350,16,25.428,2.094,19.026,18.637
i080-221,80,3160,16,25.384,2.097,22.169,22.040
i080-222,80,3160,16,25.189,2.148,22.457,21.294
i080-223,80,3160,16,25.558,2.096,23.922,21.431
i080-224,80,3160,16,25.303,2.078,22.687,21.355
i080-225,80,3160,16,25.328,2.077,22.476,21.115
i080-231,80,160,16,25.371,2.07,2.813,2.444
i080-232,80,160,16,25.628,2.122,6.024,5.230
i080-233,80,160,16,25.559,2.094,2.013,1.605
i080-234,80,160,16,25.454,2.079,0.962,0.726
i080-235,80,160,16,25.239,2.134,0.426,0.191
i080-241,80,632,16,25.825,2.145,22.379,20.674
i080-242,80,632,16,25.593,2.095,20.733,19.115
i080-243,80,632,16,25.909,2.098,20.995,19.397
i080-244,80,632,16,26.066,2.147,20.535,18.830
i080-245,80,632,16,25.97,2.123,22.087,20.584
i080-301,80,120,20,over 30s,over 30s,0.519,0.163
i080-302,80,120,20,over 30s,over 30s,0.046,0.011
i080-303,80,120,20,over 30s,over 30s,0.329,0.057
i080-304,80,120,20,over 30s,over 30s,0.479,0.093
i080-305,80,120,20,over 30s,over 30s,1.811,0.898
i080-311,80,350,20,over 30s,over 30s,over 30s,over 30s
i080-312,80,350,20,over 30s,over 30s,over 30s,over 30s
i080-313,80,350,20,over 30s,over 30s,over 30s,over 30s
i080-314,80,350,20,over 30s,over 30s,over 30s,over 30s
i080-315,80,350,20,over 30s,over 30s,over 30s,over 30s
i080-321,80,3160,20,over 30s,over 30s,over 30s,over 30s
i080-322,80,3160,20,over 30s,over 30s,over 30s,over 30s
i080-323,80,3160,20,over 30s,over 30s,over 30s,over 30s
i080-324,80,3160,20,over 30s,over 30s,over 30s,over 30s
i080-325,80,3160,20,over 30s,over 30s,over 30s,over 30s
i080-331,80,160,20,over 30s,over 30s,over 30s,over 30s
i080-332,80,160,20,over 30s,over 30s,over 30s,over 30s
i080-333,80,160,20,over 30s,over 30s,over 30s,over 30s
i080-334,80,160,20,over 30s,over 30s,over 30s,over 30s
i080-335,80,160,20,over 30s,over 30s,over 30s,over 30s
i080-341,80,632,20,over 30s,over 30s,over 30s,over 30s
i080-342,80,632,20,over 30s,over 30s,over 30s,over 30s
i080-343,80,632,20,over 30s,over 30s,over 30s,over 30s
i080-344,80,632,20,over 30s,over 30s,over 30s,over 30s
i080-345,80,632,20,over 30s,over 30s,over 30s,over 30s
i160-001,160,240,7,0.117,0.219,0.004,0.002
i160-002,160,240,7,0.121,0.218,0.002,0.004
i160-003,160,240,7,0.117,0.238,0.002,0.003
i160-004,160,240,7,0.114,0.247,0.002,0.003
i160-005,160,240,7,0.117,0.23,0.004,0.004
i160-011,160,812,7,0.114,0.196,0.010,0.006
i160-012,160,812,7,0.118,0.213,0.004,0.006
i160-013,160,812,7,0.116,0.205,0.004,0.009
i160-014,160,812,7,0.117,0.251,0.005,0.007
i160-015,160,812,7,0.116,0.217,0.005,0.008
i160-021,160,12720,7,0.11,0.291,0.010,0.029
i160-022,160,12720,7,0.109,0.251,0.010,0.022
i160-023,160,12720,7,0.112,0.262,0.010,0.021
i160-024,160,12720,7,0.109,0.277,0.011,0.021
i160-025,160,12720,7,0.11,0.271,0.010,0.025
i160-031,160,320,7,0.115,0.24,0.005,0.006
i160-032,160,320,7,0.115,0.242,0.002,0.005
i160-033,160,320,7,0.119,0.226,0.006,0.008
i160-034,160,320,7,0.117,0.194,0.002,0.006
i160-035,160,320,7,0.116,0.212,0.004,0.006
i160-041,160,2544,7,0.115,0.288,0.007,0.011
i160-042,160,2544,7,0.116,0.236,0.008,0.011
i160-043,160,2544,7,0.114,0.228,0.008,0.013
i160-044,160,2544,7,0.114,0.286,0.011,0.010
i160-045,160,2544,7,0.113,0.188,0.008,0.010
i160-101,160,240,12,1.648,0.27,0.036,0.022
