name,nodes,edges,terminals,time
i640-001,640,960,9,0.022
i640-002,640,960,9,0.021
i640-003,640,960,9,0.017
i640-004,640,960,9,0.036
i640-005,640,960,9,0.032
i640-011,640,4135,9,0.090
i640-012,640,4135,9,0.084
i640-013,640,4135,9,0.101
i640-014,640,4135,9,0.090
i640-015,640,4135,9,0.084
i640-021,640,204480,9,0.282
i640-022,640,204480,9,0.278
i640-023,640,204480,9,0.273
i640-024,640,204480,9,0.282
i640-025,640,204480,9,0.252
i640-031,640,1280,9,0.041
i640-032,640,1280,9,0.033
i640-033,640,1280,9,0.045
i640-034,640,1280,9,0.027
i640-035,640,1280,9,0.021
i640-041,640,40896,9,0.134
i640-042,640,40896,9,0.138
i640-043,640,40896,9,0.146
i640-044,640,40896,9,0.144
i640-045,640,40896,9,0.147
