name,nodes,edges,terminals,nodes',edges',terminals',time,result
es10fst01,18,20,10,4,5,3,0.000,22920745
es10fst02,14,13,10,0,0,0,0.000,19134104
es10fst03,17,20,10,0,0,0,0.000,26003678
es10fst04,18,20,10,0,0,0,0.000,20461116
es10fst05,12,11,10,0,0,0,0.000,18818916
es10fst06,17,20,10,0,0,0,0.000,26540768
es10fst07,14,13,10,0,0,0,0.000,26025072
es10fst08,21,28,10,11,15,5,0.000,25056214
es10fst09,21,29,10,11,15,6,0.001,22062355
es10fst10,18,21,10,0,0,0,0.000,23936095
es10fst11,14,13,10,0,0,0,0.000,22239535
es10fst12,13,12,10,0,0,0,0.000,19626318
es10fst13,18,21,10,0,0,0,0.000,19483914
es10fst14,24,32,10,13,18,6,0.001,21856128
es10fst15,16,18,10,0,0,0,0.000,18641924
